Number,Team Name,School Name,Class,Country,Car Name,Bio,Website,Facebook,Instagram,Linkedin,Flickr,Weight,Dimensions,Chassis,Wheels,Wheel Material,Wheel Manu,Tire Size,Tires,Battery Chemistry,Battery Weight,Battery Manu,Battery Power,Solar Chemistry,Solar Manu,Solar Power,Motor Number,Motor Manu,Motor Type,Motor Power,Passengers,Cargo Capacity
1,Purdue Solar Racing,Purdue University,SOV,USA,Lux,Purdue Solar Racing is a student organization based out of Purdue University that builds and races solar powered cars. PSR will be returning to FSGP 2025 with Lux!,https://purduesolar.org/,https://www.facebook.com/purduesolar/,https://www.instagram.com/purduesolar/,https://www.linkedin.com/company/purduesolar,,185,5m x 1.5m x 1.2m,Composite Monocoque,3,Carbon Fiber,GH Craft,95/80 R16,Bridgestone,Lithium-Ion,20,Samsung,5.22,Monocrystalline Silicon,Maxeon,957,1,Mitsuba,Brushless DC,2,,
3,Kentucky Solar Car Team,University of Kentucky,SOV,USA,Gato del Sol VII,"The University of Kentucky Solar Car Team has now been around for over 25 years, consistently competing over the years at FSGP and ASC. The last race the team competed in was the 2022 FSGP and ASC where Gato del Sol VI placed 3rd place in both competitions, this being the car’s last race. Now, this year in 2025 the team will debut our seventh-generation solar car, Gato del Sol VII.",https://solarcar.engr.uky.edu,https://www.facebook.com/UKSolarCar/,https://www.instagram.com/uksolarcar/,www.linkedin.com/in/uk-solar-car-7b04b1177,,300,3.75m x 1.9m x 1.24m,Composite Monocoque & Steel Space Frame Hybrid,4,Aluminum,CWMA,95/80 R16,Bridgestone,Lithium-Ion,20,Murata,4.85,Silicon,Sunpower,1012,2,Mistuba 2096,Brushless DC,5,,
5,Solar Gators,University of Florida,SOV,USA,Flare,"Solar Gators has nearly reached 10 years of dedicated work after being re-founded in 2016 by a small group of passionate engineering students that were determined to compete in FSGP the following year. Through lots of hard work, our first team went to competition with the first ever Solar Gators solar car, Torch, in 2017. For the following two year, we participated in the competition with modified versions of our first car, which was named Cielo, however the transition to our third car was impeded by the rise of the pandemic pushing the debut of our third ever solar vehicle, Sunrider, to the competition in 2022. Using what we learned in the 2022 competition, we continued to improve Sunrider for the 2023 FSGP, and our hard work paid off when we placed first! That was the first podium placement in the history of Solar Gators. In 2024 we continued working to improve our third car and raced Sunrider for the last time, qualifying for and competing in the first ASC in our team’s history. We are excited to continue growing as a team and debut our fourth car, Flare, at FSGP this year! ",https://ufsolargators.org/,https://www.facebook.com/ufsolargators/,https://www.instagram.com/ufsolargators/?hl=en,https://www.linkedin.com/company/ufsolargators,,285,5m x 1.4m x 1.2m,Composite Sandwich Panel Monocoque,4,Aluminum,Custom,95/80 R16,Bridgestone,Lithium-Ion,20,Samsung,5.22,Monocrystalline Silicon,SunPower,1000,1,Mitsuba,Brushless DC,5,,
6,CalSol,UC Berkeley,SOV,USA,Excalibur,"CalSol, the UC Berkeley Solar Vehicle Team, is a non-profit organization whose purpose is to design, build, test, and race fully solar-powered vehicles. We have built 10 generations of solar cars over the past 35 years, racing them at national and international competitions. Composed of over 100 undergraduate students from a variety of disciplines, we provide students with hands-on experience in real-world engineering, project management, and business development.",https://calsol.berkeley.edu/,https://www.facebook.com/BerkeleyCalSol/,https://www.instagram.com/berkeleycalsol/,https://www.linkedin.com/company/uc-berkeley-solar-vehicle-team-calsol,,237,4.82m x 1.6m x 1.31m,Composite Monocoque,4,Metal,Custom,95/80 R16,Bridgestone,Lithium-Ion,20,LG Chem,5.9,Monocrystalline Silicon,Maxeon-Sunpower,1010,2,Mitsuba,Brushless DC,2.5,,
8,Longhorn Racing Solar,University of Texas at Austin,SOV,USA,Daybreak,UT is bringing an upgraded version of their 2024 vehicle back to FSGP. Various changes were made on both the electrical and mechanical side of the car with the hopes of passing scrutineering and getting track time for the first time since 2017.,https://www.longhornracing.org/solar-vehicle-team,,https://www.instagram.com/longhornracing/,https://www.linkedin.com/company/19010355/,,320,4.5m x 1.5m x 1.25m,Steel Space Frame,4,Aluminum,Nomura,,Shinko,Lithium-Ion,19.7,LG Chem,5.24,Monocrystalline Silicon,Maxeon,905,1,Mitsuba,Brushless DC,5,,
9,PRISUM,Iowa State University,MOV,USA,No Car Name Provided,No Bio Provided,https://www.prisum.org,https://www.facebook.com/prISUmofficial/,https://www.instagram.com/prisumofficial/,https://www.linkedin.com/company/prisum,,No Data Provided,,,,,,,,Lithium-Ion,,Molicel,14.9,,,,2,Mitsuba,Brushless DC,6.75,,
10,RIT Hot Wheelz,Rochester Institute of Technology,SOV,USA,Nova,RIT Hot Wheelz is a student run orginazation that is dedicated to the enrichment of the RIT students' education by providing them with the tools to learn and explore possibilities for future employment in all industries. Our team is currently working on our first-ever solar car which most of our components were designed and manufactured in-house. We are looking forward in competing in this event in the summer!,https://www.rithotwheelz.com/,https://www.facebook.com/RITHotWheelz/,https://www.instagram.com/rit_hotwheelz/?hl=en,https://www.linkedin.com/groups/8289736/,,315,4.6m x 1.4m x 1m,Steel Space Frame,3,Aluminum,Nomura,90/80 R16,Michelin,Lithium-Ion,18.2,Panasonic,4.7,Monocrystalline Silicon,SunPower,967,1,Mitsuba ,Brushless DC,2,,
11,NUSolar,Northwestern University,SOV,USA,Bastet,"NUsolar is a student-led organization designing, manufacturing and racing the next generation of solar powered electric vehicles. Founded in 1997 by a small team of students and faculty at Northwestern University, NUsolar has since expanded, building 8 custom vehicles and participating in over 10 solar car competitions. Our mission is to enhance the educational experiences of our student members as well as promote the development of sustainable technologies on campus and within the Chicagoland area.",https://nusolar.org/,https://www.facebook.com/weracesolarcars,https://www.instagram.com/nusolarcarteam,https://www.linkedin.com/company/nusolar/,,270,4.5m x 1.7m x 1.2m,Steel Space Frame,4,Carbon Fiber,GH Craft,90/80 R16,Shinzo,Lithium-Ion,20,Sanyo,5.24,Monocrystalline Silicon,Maxeon,975,2,Mitsuba,Brushless DC,5,,
13,Michigan State Solar Racing Team,Michigan State University,SOV,USA,Cynisca,"Michigan State Solar Racing is a team on designing, building, and testing solar powered electric vehicles while focusing on learning and sustainability. We are racing our new single occupant vehicle Cynisca which is a dual motor catamaran vehicle.",https://www.msusolar.com/,,https://www.instagram.com/msusolarcar/,,,463,4.3m x 1.95m x 1.27m,Steel Space Frame,4,Aluminum,S&S Die,90/80 R16,Michelin,Lithium-Ion,40,Panasonic,4.92,Monocrystalline Silicon,SunPower,1000,2,Marand,Axial Flux,10,,
16,Stanford Solar Car Project,Stanford University,SOV,USA,Azimuth,"The Stanford Solar Car Project is a fully student run solar car team at Stanford University with a drive to innovate using cutting-edge technologies. Since 1989, we have been designing, building, and testing vehicles that have competed in the American Solar Challenge, Formula Sun Grand Prix, and the World Solar Challenge. We are excited to offer the opportunity for students of all backgrounds to learn real world engineering skills in a fast pace and fun environment.",https://stanfordsolarcarproject.weebly.com,https://www.facebook.com/stanfordsolarcar,https://www.instagram.com/stanfordsolarcar/,https://www.linkedin.com/company/stanfordsolarcar/,,228,4.97m x 1.19m x 0.95m,Composite Sandwich Panel,4,Aluminum,Nomura,95/80 R16,Michelin,Lithium-Ion,19.6,Samsung,5.02,Monocrystalline Silicon,SunPower Maxeon,600,2,Custom,Permenant Magnet Synchonous,4,,
